City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Max Temp (F),Wind Speed (mph)
Chui,1,UY,1581401101,78,-33.7,-53.46,62.4,3.83
Butaritari,100,KI,1581401102,80,3.07,172.79,84.06,18.68
Keetmanshoop,0,NA,1581401102,43,-26.58,18.13,71.6,3.36
Kaitangata,57,NZ,1581401102,71,-46.28,169.85,61.0,1.01
Altay,100,CN,1581401103,96,47.87,88.12,23.31,3.65
Shubarshi,98,KZ,1581401103,74,48.59,57.19,14.11,7.54
Kawalu,99,ID,1581401103,56,-7.38,108.21,84.85,7.14
Labytnangi,100,RU,1581401103,96,66.66,66.42,10.85,6.89
Saint-Augustin,100,CA,1581401104,95,51.23,-58.65,19.2,7.52
Guerrero Negro,34,MX,1581401104,64,27.98,-114.06,56.84,10.47
Avenal,1,US,1581401104,60,36.0,-120.13,45.0,3.36
Mataura,49,NZ,1581401105,85,-46.19,168.86,55.99,10.0
Muli,98,MV,1581401105,76,2.92,73.57,82.36,20.13
Yanam,40,IN,1581401105,65,16.73,82.22,80.6,16.11
Beruwala,1,LK,1581401106,57,6.48,79.98,85.84,6.11
Castro,76,BR,1581401106,95,-24.79,-50.01,58.39,5.84
Litovko,100,RU,1581401106,90,49.24,135.17,8.13,7.87
Manicore,3,BR,1581401106,98,-5.81,-61.3,72.45,0.94
Luquillo,40,PR,1581401106,69,18.37,-65.72,80.6,9.17
Kenai,1,US,1581401107,52,60.55,-151.26,16.0,5.82
Bemidji,90,US,1581401107,85,47.47,-94.88,19.4,10.29
Rikitea,0,PF,1581401107,77,-23.12,-134.97,79.5,18.84
Albany,90,US,1581401107,100,42.6,-73.97,36.0,0.89
Ushuaia,40,AR,1581401108,93,-54.8,-68.3,48.2,4.74
Tuktoyaktuk,20,CA,1581401108,74,69.45,-133.04,-23.8,14.99
Yellowknife,5,CA,1581401077,75,62.46,-114.35,-16.01,6.93
Poum,100,NC,1581401108,83,-20.23,164.02,82.38,39.66
Kununurra,75,AU,1581401108,88,-15.77,128.73,78.8,10.29
Cherskiy,0,RU,1581401109,53,68.75,161.3,-12.64,10.0
Vanavara,100,RU,1581401109,89,60.34,102.28,-1.89,11.92
Kiama,40,AU,1581401109,88,-34.68,150.87,73.99,4.7
Bay Roberts,90,CA,1581401109,100,47.6,-53.26,32.0,19.46
Naze,75,JP,1581401110,55,28.37,129.48,64.4,4.7
Bluff,71,NZ,1581401110,85,-46.6,168.33,55.99,10.0
Leninskiy,100,RU,1581401111,95,54.28,37.46,28.22,22.7
Vaini,75,TO,1581401111,83,-21.2,-175.2,82.4,8.05
Anadyr,100,RU,1581401112,70,64.75,177.48,-4.0,6.71
Cape Town,1,ZA,1581401080,88,-33.93,18.42,73.0,10.29
Kumul,2,CN,1581401113,48,42.8,93.45,30.92,0.96
Liverpool,75,GB,1581401069,60,53.41,-2.98,43.0,28.86
Vao,100,NC,1581401114,82,-22.67,167.48,78.55,30.96
Ribeira Grande,74,PT,1581401114,90,38.52,-28.7,57.92,7.23
Esparta,17,HN,1581401114,97,15.74,-87.18,63.55,2.86
Busselton,2,AU,1581401114,17,-33.65,115.33,91.99,12.39
Vostok,2,RU,1581401115,76,46.49,135.88,22.95,4.21
Gumdag,100,TM,1581401115,37,39.21,54.59,34.95,18.7
Waipawa,0,NZ,1581401115,64,-41.41,175.52,68.0,11.41
Pimentel,16,PE,1581401115,29,-6.84,-79.93,66.2,3.36
Carnarvon,16,AU,1581401116,69,-24.87,113.63,80.6,14.99
Qaqortoq,49,GL,1581401116,61,60.72,-46.03,14.0,1.12
Qaanaaq,0,GL,1581401116,73,77.48,-69.36,-12.1,2.64
Jieshi,74,CN,1581401117,77,22.81,115.83,66.0,11.52
Torbay,90,CA,1581401113,100,47.67,-52.73,32.0,19.46
Caravelas,51,BR,1581401117,87,-17.71,-39.25,80.4,19.22
Chute-aux-Outardes,1,CA,1581401117,92,49.12,-68.4,23.0,3.36
Areosa,75,PT,1581401117,100,41.72,-8.86,57.0,2.24
Bonga,0,ET,1581401118,48,7.28,36.23,69.96,0.78
Southbridge,40,US,1581401118,100,42.08,-72.03,42.01,3.36
Avarua,100,CK,1581401118,88,-21.21,-159.78,80.6,3.36
Taviano,5,IT,1581401118,93,39.98,18.09,54.0,10.29
Constitucion,0,CL,1581401119,75,-35.33,-72.42,58.39,4.0
Shelburne,90,CA,1581400825,100,44.08,-80.2,28.99,3.22
San Andres,40,CO,1581401037,78,12.58,-81.7,80.6,11.41
Leh,47,IN,1581400871,43,34.17,77.58,6.03,0.6
Punta Arenas,100,CL,1581401088,75,-53.15,-70.92,44.6,2.24
Hobart,75,AU,1581400820,73,-42.88,147.33,72.0,10.29
Arraial do Cabo,100,BR,1581401120,93,-22.97,-42.03,75.09,8.25
Port-Gentil,75,GA,1581401120,94,-0.72,8.78,80.6,1.12
Ardmore,90,US,1581401121,80,34.17,-97.14,39.99,6.93
Mahebourg,40,MU,1581401121,94,-20.41,57.7,81.0,13.87
Salalah,75,OM,1581401121,69,17.02,54.09,73.4,3.36
Nemuro,20,JP,1581401121,50,43.32,145.57,28.4,8.05
Yate,75,GB,1581401122,74,51.54,-2.42,43.0,27.51
Jamestown,90,US,1581401073,95,42.1,-79.24,33.8,3.36
Port Alfred,0,ZA,1581401122,81,-33.59,26.89,72.0,3.0
Hermanus,1,ZA,1581401122,79,-34.42,19.23,72.0,5.99
Kahului,40,US,1581401123,88,20.89,-156.47,64.4,3.36
Kapaa,75,US,1581401123,88,22.08,-159.32,66.2,11.41
Barrow,1,US,1581401123,98,71.29,-156.79,-38.2,10.29
Kenora,89,CA,1581401123,78,49.82,-94.43,12.2,5.82
Sao Filipe,10,CV,1581401124,62,14.9,-24.5,70.27,14.72
Alice Springs,20,AU,1581401059,13,-23.7,133.88,100.4,10.29
Saint George,1,US,1581401125,34,37.1,-113.58,46.4,8.05
Cidreira,71,BR,1581401125,60,-30.18,-50.21,73.29,10.6
Longyearbyen,20,SJ,1581401125,65,78.22,15.64,8.6,21.92
Laguna,1,US,1581401125,29,38.42,-121.42,66.2,13.87
Villa Carlos Paz,2,AR,1581401126,93,-31.42,-64.5,66.99,5.82
Norman Wells,20,CA,1581401126,83,65.28,-126.83,-5.8,5.82
Saint-Pierre,90,RE,1581401126,94,-21.34,55.48,86.0,18.34
Bredasdorp,38,ZA,1581401126,82,-34.53,20.04,72.0,6.93
Mossamedes,19,AO,1581401126,74,-15.2,12.15,73.96,3.49
Okhotsk,0,RU,1581401127,77,59.38,143.3,-5.55,4.85
Mount Isa,0,AU,1581401127,18,-20.73,139.5,96.8,8.05
Lebu,8,CL,1581401127,79,-37.62,-73.65,56.8,7.43
Adrar,62,MR,1581401127,15,20.5,-10.07,63.07,7.56
Rocky Mountain House,100,CA,1581401128,79,52.37,-114.92,23.74,4.32
Kruisfontein,0,ZA,1581401128,65,-34.0,24.73,68.02,8.88
Thinadhoo,9,MV,1581401128,80,0.53,72.93,82.63,19.24
Esso,86,RU,1581401128,93,55.93,158.7,0.0,5.68
Avera,90,US,1581401128,87,33.19,-82.53,66.0,4.7
Korla,11,CN,1581400919,90,41.76,86.15,28.0,3.02
Golden,90,US,1581400903,85,39.76,-105.22,24.8,4.7
Ust-Kuyga,0,RU,1581401129,62,70.02,135.6,-26.41,5.39
Atuona,0,PF,1581401129,69,-9.8,-139.03,81.16,16.58
Isangel,75,VU,1581401129,84,-19.55,169.27,86.0,9.17
Ostrovnoy,68,RU,1581401130,94,68.05,39.51,34.05,23.87
Bethel,90,US,1581401130,100,41.37,-73.41,44.01,3.36
New Norfolk,75,AU,1581401131,73,-42.78,147.06,72.0,10.29
Coquimbo,20,CL,1581401131,87,-29.95,-71.34,60.8,2.19
Egvekinot,7,RU,1581401132,83,66.32,-179.17,-19.68,3.85
Ponte de Sor,75,PT,1581401132,96,39.25,-8.01,53.01,3.71
Dikson,0,RU,1581401132,92,73.51,80.55,-18.06,9.28
Puerto Leguizamo,77,CO,1581401133,59,-0.19,-74.78,78.51,1.54
Dunedin,52,NZ,1581401025,71,-45.87,170.5,61.0,1.01
Gaevle,100,SE,1581401134,72,60.67,17.14,34.0,5.01
Bhawanigarh,88,IN,1581401135,46,30.27,76.03,63.7,5.41
Fort Nelson,90,CA,1581401135,92,58.81,-122.7,30.2,3.36
Seoul,1,KR,1581401094,20,37.57,126.98,57.2,3.36
Arrondissement de Soissons,75,FR,1581401135,80,49.33,3.33,41.0,27.51
Margate,0,GB,1581401135,69,51.38,1.39,41.0,24.16
Kodiak,1,US,1581401136,39,57.79,-152.41,28.4,5.82
Souillac,40,MU,1581401136,94,-20.52,57.52,81.0,13.87
Northam,97,GB,1581401136,67,51.03,-4.22,42.01,14.0
Gillette,1,US,1581401137,92,44.29,-105.5,18.0,12.75
Srednekolymsk,9,RU,1581401137,50,67.45,153.68,-20.34,1.92
Pevek,0,RU,1581401137,76,69.7,170.31,-18.89,4.36
Kondinskoye,99,RU,1581401137,93,59.65,67.41,7.25,12.71
Khatanga,50,RU,1581401137,97,71.97,102.5,-31.49,2.01
Tuatapere,58,NZ,1581401138,85,-46.13,167.68,55.99,10.0
Cabo San Lucas,75,MX,1581400995,77,22.89,-109.91,66.0,3.36
Karlstad,40,SE,1581401138,83,59.38,13.5,35.01,6.93
Pisco,90,PE,1581401138,83,-13.7,-76.22,70.0,3.36
Port Townsend,90,US,1581401139,86,48.12,-122.76,41.0,2.21
Sergeevka,100,KZ,1581401139,90,53.88,67.42,3.58,17.02
Kalabo,65,ZM,1581401139,91,-14.97,22.68,69.19,8.86
Ahipara,24,NZ,1581401139,63,-35.17,173.17,75.0,1.01
Narsaq,28,GL,1581401140,61,60.92,-46.05,14.0,1.12
Galich,100,RU,1581401140,89,58.38,42.35,24.78,13.29
Tahe,20,CN,1581400852,84,52.33,124.73,21.07,3.91
Maple Creek,19,CA,1581401140,69,49.92,-109.48,21.36,9.78
Hilo,20,US,1581401053,56,19.73,-155.09,73.4,9.17
Geraldton,35,AU,1581401140,36,-28.77,114.6,95.0,10.29
Nizwa,45,OM,1581401141,46,22.93,57.53,65.5,4.88
Sitka,90,US,1581401141,86,57.05,-135.33,41.0,20.8
Esperance,90,AU,1581401141,77,-33.87,121.9,66.2,10.29
Puerto Ayora,81,EC,1581401141,86,-0.74,-90.35,77.4,7.27
Kabala,8,SL,1581401142,85,9.58,-11.55,62.49,1.12
Yichang,24,CN,1581401142,61,30.71,111.28,59.16,5.95
Santo Tomas,20,PH,1581401142,51,14.11,121.14,86.0,11.41
Lagoa,70,PT,1581401142,82,39.05,-27.98,61.75,12.35
Sobolevo,100,RU,1581401142,99,54.43,31.9,32.68,4.09
Najran,20,SA,1581401143,44,17.49,44.13,60.8,4.7
Bathsheba,75,BB,1581401143,78,13.22,-59.52,77.0,24.16
Yar-Sale,100,RU,1581401143,93,66.83,70.83,11.71,15.79
Ukiah,1,US,1581401143,70,39.15,-123.21,53.01,4.7
Lompoc,1,US,1581401086,52,34.64,-120.46,50.0,3.36
Shimoda,20,JP,1581401144,46,34.67,138.95,50.0,6.93
Thompson,90,CA,1581400977,84,55.74,-97.86,6.8,2.24
Deputatsky,0,RU,1581401144,73,69.3,139.9,-35.12,1.74
Comodoro Rivadavia,35,AR,1581401144,93,-45.87,-67.5,57.2,6.91
Sao Jose da Coroa Grande,5,BR,1581401145,79,-8.9,-35.15,81.09,13.71
Kiunga,67,PG,1581401145,93,-6.12,141.29,82.87,5.01
Fukuecho,75,JP,1581401145,62,32.69,128.84,57.2,6.93
Tabuk,32,PH,1581401145,63,17.42,121.44,78.44,8.39
Alofi,100,NU,1581401145,83,-19.06,-169.92,78.8,8.05
Saint-Francois,41,FR,1581401146,61,46.42,3.91,46.99,8.05
Vardo,75,NO,1581401146,93,70.37,31.11,35.6,10.29
Moose Factory,90,CA,1581401146,79,51.26,-80.61,23.0,11.41
Leningradskiy,0,RU,1581401146,83,69.38,178.42,-21.84,7.27
Broome,90,US,1581401147,86,42.25,-75.83,36.0,6.93
Kapit,63,MY,1581401147,47,2.02,112.93,90.66,3.11
Yerofey Pavlovich,100,RU,1581401147,93,53.97,121.97,6.82,1.61
Afsin,39,TR,1581401147,55,38.25,36.91,3.52,0.34
George Town,20,MY,1581401148,70,5.41,100.34,87.8,5.82
Gornopravdinsk,100,RU,1581401148,92,60.05,69.9,10.24,10.36
Mendi,64,PG,1581401148,91,-6.18,143.65,64.62,3.31
Annau,90,TM,1581401148,92,37.89,58.52,32.0,4.7
Gizo,100,SB,1581401148,86,-8.1,156.84,79.02,10.89
Hasaki,20,JP,1581401149,29,35.73,140.83,54.0,9.17
Saint-Leu,90,RE,1581401149,94,-21.15,55.28,86.0,18.34
Chatellerault,90,FR,1581401149,93,46.8,0.53,46.99,12.75
Diego de Almagro,8,CL,1581401149,60,-26.37,-70.05,55.36,0.27
Nikolskoye,90,RU,1581401150,80,59.7,30.79,39.2,15.66
Pozo Colorado,8,PY,1581401151,49,-23.49,-58.8,75.63,6.38
Dubovskoye,0,RU,1581401151,67,47.41,42.76,23.67,12.59
Shirokiy,79,RU,1581401151,89,49.76,129.52,17.64,11.92
Baykit,69,RU,1581401152,87,61.67,96.37,-5.6,3.91
Cabra,8,ES,1581401152,93,37.47,-4.44,50.0,1.12
Mahibadhoo,68,MV,1581401152,76,3.78,72.97,82.17,21.63
Dingle,52,PH,1581401153,69,11.0,122.67,80.65,15.59
Athabasca,100,CA,1581401153,97,54.72,-113.29,28.6,9.84
Port Elizabeth,0,ZA,1581400985,82,-33.92,25.57,68.0,9.17
Mar del Plata,20,AR,1581400955,93,-38.0,-57.56,64.0,2.24
Ouadda,6,CF,1581401154,19,8.08,22.4,65.25,9.04
East London,20,ZA,1581401154,82,-33.02,27.91,68.0,3.36
Saskylakh,99,RU,1581401154,97,71.92,114.08,-19.95,9.64
Dhidhdhoo,89,MV,1581401154,77,6.88,73.1,82.27,19.26
Alyangula,97,AU,1581401155,47,-13.85,136.42,96.8,8.05
Kieta,96,PG,1581401155,76,-6.22,155.63,83.97,11.74
Nyurba,96,RU,1581400883,91,63.28,118.33,-5.28,8.68
Nampula,75,MZ,1581401155,83,-15.12,39.27,78.8,5.82
Sterling,90,US,1581400936,100,39.01,-77.43,51.01,4.45
Borogontsy,100,RU,1581401156,94,62.67,131.17,5.79,7.07
Arman,23,RU,1581401156,77,59.7,150.17,3.15,10.33
Itarema,70,BR,1581401156,96,-2.92,-39.92,73.9,2.98
Gracac,20,HR,1581401157,93,44.3,15.85,57.0,5.82
Flin Flon,100,CA,1581401157,89,54.77,-101.86,22.55,13.24
Upernavik,96,GL,1581401157,84,72.79,-56.15,-7.65,5.79
Cheremkhovo,100,RU,1581401157,88,53.16,103.07,13.05,10.94
Oodweyne,0,SO,1581401158,47,9.41,45.06,69.06,7.16
Vanimo,67,PG,1581401158,79,-2.67,141.3,82.69,20.45
Bartlesville,90,US,1581401158,93,36.75,-95.98,41.0,4.7
Raja,0,SS,1581401158,22,8.46,25.68,61.72,9.95
Mareeba,90,AU,1581401159,70,-17.0,145.43,93.0,10.29
Malindi,40,KE,1581401159,88,-3.22,40.12,80.6,3.74
Tual,100,ID,1581401159,79,-5.67,132.75,82.24,14.32
Tasiilaq,100,GL,1581401159,73,65.61,-37.64,26.6,1.12
Trelew,26,AR,1581401159,41,-43.25,-65.31,72.95,18.34
Benjamin Hill,72,MX,1581401160,92,30.17,-111.1,42.01,7.96
Puerto Narino,59,CO,1581401160,100,-3.77,-70.38,77.0,0.54
Chokurdakh,50,RU,1581401160,71,70.63,147.92,-24.7,3.22
Cabral,13,DO,1581401160,74,18.25,-71.22,78.66,17.56
Mecca,13,SA,1581401161,21,21.43,39.83,67.21,8.77
Codrington,100,AU,1581401161,96,-38.27,141.97,64.83,14.83
Pierre,90,US,1581401016,79,44.37,-100.35,25.0,9.17
Nushki,81,PK,1581401161,35,29.55,66.02,65.82,9.04
Bambous Virieux,40,MU,1581401161,94,-20.34,57.76,81.0,13.87
Vila Franca do Campo,75,PT,1581401161,77,37.72,-25.43,62.6,5.82
Doka,0,SD,1581401162,58,13.52,35.77,64.02,9.51
Tongliao,0,CN,1581401162,70,43.61,122.27,42.57,19.48
Port Lincoln,100,AU,1581401162,74,-34.73,135.87,67.8,17.0
Iquitos,41,PE,1581401162,94,-3.75,-73.25,75.2,3.36
Acarau,70,BR,1581401162,96,-2.89,-40.12,73.9,2.98
Wanaka,40,NZ,1581401163,49,-44.7,169.15,65.82,3.44
Bengkulu,0,ID,1581401163,50,-3.8,102.27,88.93,6.82
Ponta do Sol,75,PT,1581401163,93,32.67,-17.1,60.01,6.93
Blythe,20,US,1581401163,87,33.61,-114.6,53.6,3.36
Viedma,0,AR,1581401164,72,-40.81,-63.0,63.84,14.23
Bubaque,0,GW,1581401164,66,11.28,-15.83,78.94,3.87
Abonnema,90,NG,1581401164,94,4.71,6.79,71.6,3.83
Iqaluit,20,CA,1581401165,66,63.75,-68.51,-29.0,11.41
Corrales,90,US,1581401165,83,35.24,-106.61,42.8,20.8
Clyde River,90,CA,1581401165,83,70.47,-68.59,-9.4,14.99
San Cristobal,40,VE,1581401165,51,7.77,-72.22,80.6,4.7
Sarangani,100,PH,1581401165,77,5.4,125.46,80.51,28.77
Marang,40,MY,1581401166,74,5.21,103.21,86.0,8.05
Derazhnya,0,UA,1581401166,86,49.27,27.43,31.93,10.71
Portobelo,40,PA,1581401166,83,9.55,-79.65,78.8,3.36
Khandyga,100,RU,1581401166,93,62.67,135.6,4.82,7.27
Shingu,40,JP,1581401167,37,33.73,135.98,51.8,13.87
Shizunai,24,JP,1581401167,71,42.33,142.37,26.71,9.57
Jiwani,17,PK,1581401167,64,25.05,61.74,71.62,8.46
Maketu,0,NZ,1581401167,61,-37.77,176.45,79.0,4.81
Chernyshevskiy,100,RU,1581401168,92,63.01,112.47,-4.41,10.04
Sao Felix do Xingu,69,BR,1581401168,97,-6.64,-51.99,70.21,1.43
Banda Aceh,24,ID,1581401168,63,5.56,95.32,86.41,8.28
Abalak,89,RU,1581401168,90,58.13,68.59,9.1,9.48
Zachary,75,US,1581401169,94,30.65,-91.16,72.0,14.99
San Patricio,0,MX,1581401169,79,19.22,-104.7,76.55,4.07
Ballina,62,AU,1581401169,94,-28.87,153.57,80.6,8.05
Winona,1,US,1581401169,85,43.97,-91.77,21.2,10.29
Ikom,0,NG,1581401170,53,5.97,8.71,63.95,2.1
Ambilobe,13,MG,1581401170,74,-13.2,49.05,84.29,1.72
Hithadhoo,8,MV,1581401170,79,-0.6,73.08,83.14,16.58
Mayya,75,RU,1581401171,84,61.73,130.28,5.0,4.47
Vila,90,PT,1581401171,100,42.03,-8.16,57.0,5.82
Vila Velha,75,BR,1581401172,94,-20.33,-40.29,78.8,4.7
Grand Gaube,40,MU,1581401172,94,-20.01,57.66,81.0,13.87
Pitanga,21,BR,1581401172,94,-24.76,-51.76,60.44,6.38
Gualdo Tadino,35,IT,1581401173,87,43.23,12.78,62.01,6.93
Black Diamond,1,US,1581401173,100,47.31,-122.0,39.99,2.15
Grindavik,75,IS,1581401173,73,63.84,-22.43,33.8,27.51
Saldanha,0,ZA,1581401174,82,-33.01,17.94,62.6,5.82
Monze,95,ZM,1581401174,93,-16.28,27.48,68.85,7.78
